Major_School,GPA,GRE_Stats,Application Cycle,Status_Date,Status,University
"Chemistry, UNC Chapel Hill",3.82,GRE 162; GRE V 157; GRE AW 4.00,Fall 2021,Rejected on 3 Feb,Reject, UNC Chapel Hill
"Chemistry, Princeton University",4.0,GRE 162; GRE V 162; GRE AW 3.50,Fall 2021,Rejected on 2 Feb,Reject, Princeton University
"Chemistry, Massachusetts Institute Of Technology (MIT)",4.0,GRE 165; GRE V 168; GRE AW 5.00,Fall 2021,Accepted on 1 Feb,Accept, Massachusetts Institute Of Technology (MIT)
"Chemistry, University Of Kansas",3.2,GRE 167; GRE V 154; GRE AW 4.00,Fall 2021,Accepted on 28 Jan,Accept, University Of Kansas
"Chemistry, Stanford University",3.82,GRE 162; GRE V 157; GRE AW 4.00,Fall 2021,Rejected on 28 Jan,Reject, Stanford University
"Chemistry, Renssalear Polytechnic Institute (RPI)",3.82,GRE 162; GRE V 157; GRE AW 4.00,Fall 2021,Accepted on 27 Jan,Accept, Renssalear Polytechnic Institute (RPI)
"Chemistry, Northwestern University",3.85,GRE 168; GRE V 160; GRE AW 4.00,Fall 2021,Accepted on 28 Dec,Accept, Northwestern University
"Chemistry, Renssalear Polytechnic Institute (RPI)",3.79,GRE 157; GRE V 157; GRE AW 4.00,Fall 2021,Accepted on 28 Jan,Accept, Renssalear Polytechnic Institute (RPI)
"Chemistry, Brown University",3.92,GRE 157; GRE V 165; GRE AW 5.00,Fall 2021,Accepted on 28 Jan,Accept, Brown University
"Chemistry, Stanford University",3.77,GRE 164; GRE V 156; GRE AW 5.50,Fall 2021,Rejected on 28 Jan,Reject, Stanford University
"Chemistry, Stanford University",3.98,GRE 168; GRE V 170; GRE AW 4.50,Fall 2021,Rejected on 28 Jan,Reject, Stanford University
"Chemistry, Vanderbilt University",3.92,GRE 169; GRE V 165; GRE AW 5.00,Fall 2021,Other,Reject, Vanderbilt University
"Chemistry, Stanford University",3.87,GRE 169; GRE V 169; GRE AW 4.50,Fall 2021,Accepted on 26 Jan,Accept, Stanford University
"Chemistry, Harvard University",3.66,GRE 163; GRE V 166; GRE AW 4.50,Fall 2021,Rejected on 26 Jan,Reject, Harvard University
"Chemistry And Chemical Biology, Harvard University",3.92,GRE 169; GRE V 165; GRE AW 5.00,Fall 2021,Rejected on 26 Jan,Reject, Harvard University
"Chemistry, Stanford University",3.66,GRE 163; GRE V 166; GRE AW 4.50,Fall 2021,Accepted on 25 Jan,Accept, Stanford University
"Chemistry, University Of Missouri",3.16,GRE 160; GRE V 165; GRE AW 4.50,Fall 2021,Accepted on 22 Jan,Accept, University Of Missouri
"Chemistry, Florida State University (FSU)",3.16,GRE 160; GRE V 165; GRE AW 4.50,Fall 2021,Accepted on 16 Dec,Accept, Florida State University (FSU)
"Chemistry, Texas A&M University - College Station (TAMU)",3.16,GRE 160; GRE V 165; GRE AW 4.50,Fall 2021,Accepted on 10 Dec,Accept, Texas A&M University - College Station (TAMU)
"Chemistry, Carnegie Mellon University",3.8,GRE 169; GRE V 164; GRE AW 4.50,Fall 2021,Accepted on 22 Dec,Accept, Carnegie Mellon University
"Chemistry, Northwestern University",4.0,GRE 165; GRE V 163,Fall 2021,Accepted on 22 Jan,Accept, Northwestern University
"Chemistry, University Of Virginia",3.83,GRE 163; GRE V 163; GRE AW 5.50,Fall 2021,Accepted on 21 Jan,Accept, University Of Virginia
"Chemistry, University Of Wisconsin-Madison",3.83,GRE 168; GRE V 167,Fall 2021,Rejected on 20 Jan,Reject, University Of Wisconsin-Madison
"Chemistry, Vanderbilt University",3.37,GRE 152; GRE V 164; GRE AW 5.00,Fall 2021,Rejected on 8 Jan,Reject, Vanderbilt University
"Chemistry, University Of Illinois, Chicago (UIC)",3.37,GRE 152; GRE V 164; GRE AW 5.00,Fall 2021,Accepted on 21 Jan,Accept, University Of Illinois
"Chemistry, University Of Pennsylvania",3.95,GRE 165; GRE V 166; GRE AW 5.50,Fall 2021,Accepted on 20 Jan,Accept, University Of Pennsylvania
"Chemistry, Harvard University",3.98,GRE 163; GRE V 168; GRE AW 5.50,Fall 2021,Accepted on 19 Jan,Accept, Harvard University
"Chemistry, Princeton University",3.98,GRE 163; GRE V 168; GRE AW 5.50,Fall 2021,Accepted on 19 Jan,Accept, Princeton University
"Chemistry, University Of Wisconsin-Madison",3.75,GRE 162; GRE V 158; GRE AW 5.00,Fall 2021,Accepted on 17 Jan,Accept, University Of Wisconsin-Madison
"Medicinal Chemistry, Purdue University West Lafayette",3.35,GRE 158; GRE V 156; GRE AW 4.50,Fall 2021,Accepted on 15 Dec,Accept, Purdue University West Lafayette
"Biochemistry, Florida State University (FSU)",3.55,GRE 305; GRE V 146; GRE AW 99.99,Fall 2021,Accepted on 8 Jan,Accept, Florida State University (FSU)
"Chemistry, University Of California, Berkeley",3.97,GRE 168; GRE V 161; GRE AW 6.00,Fall 2021,Accepted on 15 Jan,Accept, University Of California
"Chemistry, SUNY Stony Brook",3.79,GRE 157; GRE V 157; GRE AW 4.00,Fall 2021,Accepted on 8 Jan,Accept, SUNY Stony Brook
"Chemistry, University Of Pennsylvania",3.97,GRE 168; GRE V 161; GRE AW 6.00,Fall 2021,Other,Reject, University Of Pennsylvania
"Chemistry, Columbia University",3.87,GRE 169; GRE V 169; GRE AW 4.50,Fall 2021,Accepted on 14 Jan,Accept, Columbia University
"Chemistry, Columbia University",4.0,GRE 165; GRE V 163,Fall 2021,Accepted on 14 Jan,Accept, Columbia University
"Chemistry, Columbia University",3.98,GRE 163; GRE V 168; GRE AW 5.50,Fall 2021,Accepted on 14 Jan,Accept, Columbia University
"Chemistry, University Of Virginia",3.71,GRE 160; GRE V 167; GRE AW 4.00,Fall 2021,Accepted on 13 Jan,Accept, University Of Virginia
"Chemistry, Massachusetts Institute Of Technology (MIT)",3.87,GRE 169; GRE V 169; GRE AW 4.50,Fall 2021,Accepted on 12 Jan,Accept, Massachusetts Institute Of Technology (MIT)
"Chemistry, University Of California, San Diego",3.73,GRE 164; GRE V 156; GRE AW 5.50,Fall 2021,Accepted on 10 Jan,Accept, University Of California
"Chemistry, University Of Toronto",3.93,GRE 157; GRE V 165; GRE AW 5.00,Fall 2021,Wait listed,Waitlist, University Of Toronto
"Biochemistry, Molecular, Cellular And Developmental Biology, University Of California, Davis",3.2,GRE 157; GRE V 160; GRE AW 5.50,Fall 2021,Rejected on 7 Jan,Reject, Molecular
"Chemistry, Stanford University",3.94,GRE 167; GRE V 165; GRE AW 5.00,Fall 2021,Accepted on 7 Jan,Accept, Stanford University
"Chemistry, University Of California, Berkeley",3.66,GRE 163; GRE V 166; GRE AW 4.50,Fall 2021,Accepted on 6 Jan,Accept, University Of California
"Chemistry, University Of California, Berkeley",3.98,GRE 169; GRE V 158,Fall 2021,Accepted on 5 Jan,Accept, University Of California
"Chemistry, Boston College",3.82,GRE 164; GRE V 161; GRE AW 3.00,Fall 2021,Accepted on 5 Jan,Accept, Boston College
"Chemistry, University Of Washington",3.73,GRE 164; GRE V 156; GRE AW 5.50,Fall 2021,Accepted on 4 Jan,Accept, University Of Washington
"Chemistry, University Of California, Berkeley",3.94,GRE 167; GRE V 165; GRE AW 5.00,Fall 2021,Accepted on 4 Jan,Accept, University Of California
"Chemistry, UC Santa Barbara (UCSB)",3.94,GRE 167; GRE V 165; GRE AW 5.00,Fall 2021,Accepted on 3 Jan,Accept, UC Santa Barbara (UCSB)
"Chemistry, Rutgers University - New Brunswick",3.79,GRE 157; GRE V 157; GRE AW 4.00,Fall 2021,Accepted on 31 Dec,Accept, Rutgers University - New Brunswick
"Chemistry, Northwestern University",3.98,GRE 163; GRE V 168; GRE AW 5.50,Fall 2021,Accepted on 30 Dec,Accept, Northwestern University
"Chemistry And Chemical Biology, Rutgers University - New Brunswick",3.3,GRE 158; GRE V 159,Fall 2021,Accepted on 28 Dec,Accept, Rutgers University - New Brunswick
"Chemistry, University Of Washington",0.68,GRE 162; GRE V 159,Fall 2021,Accepted on 23 Dec,Accept, University Of Washington
"Chemistry, UC Santa Barbara (UCSB)",3.75,GRE 162; GRE V 158; GRE AW 5.00,Fall 2021,Accepted on 24 Dec,Accept, UC Santa Barbara (UCSB)
"Chemistry, University Of Chicago",3.93,GRE 163; GRE V 156; GRE AW 5.00,Fall 2021,Accepted on 24 Dec,Accept, University Of Chicago
"Chemistry, University Of Chicago",3.97,GRE 168; GRE V 161; GRE AW 6.00,Fall 2021,Accepted on 22 Dec,Accept, University Of Chicago
"Chemistry, UC San Francisco (UCSF)",3.73,GRE 164; GRE V 156; GRE AW 5.50,Fall 2021,Rejected on 23 Dec,Reject, UC San Francisco (UCSF)
"Chemistry And Chemical Biology (CCB), UC San Francisco (UCSF)",3.87,GRE 163; GRE V 164; GRE AW 5.00,Fall 2021,Rejected on 23 Dec,Reject, UC San Francisco (UCSF)
"Chemistry, University Of Washington",3.98,GRE 163; GRE V 168; GRE AW 5.50,Fall 2021,Accepted on 22 Dec,Accept, University Of Washington
"Chemistry, University Of Chicago",3.98,GRE 163; GRE V 168; GRE AW 5.50,Fall 2021,Accepted on 22 Dec,Accept, University Of Chicago
"Chemistry, Northwestern University",3.94,GRE 167; GRE V 165; GRE AW 5.00,Fall 2021,Accepted on 22 Dec,Accept, Northwestern University
"Chemistry, University Of Chicago",3.94,GRE 167; GRE V 165; GRE AW 5.00,Fall 2021,Accepted on 22 Dec,Accept, University Of Chicago
"Chemistry, Johns Hopkins University",3.79,GRE 157; GRE V 157; GRE AW 4.00,Fall 2021,Accepted on 22 Dec,Accept, Johns Hopkins University
"Chemistry, University Of Chicago",3.73,GRE 164; GRE V 156; GRE AW 5.50,Fall 2021,Accepted on 22 Dec,Accept, University Of Chicago
"Chemistry, University Of Illinois",3.93,GRE 163; GRE V 156; GRE AW 5.00,Fall 2021,Accepted on 21 Dec,Accept, University Of Illinois
"Chemistry, University Of California, Los Angeles (UCLA)",3.3,GRE 163; GRE V 154; GRE AW 4.00,Fall 2021,Accepted on 17 Dec,Accept, University Of California
"Chemistry, University Of Washington",3.97,GRE 168; GRE V 161; GRE AW 6.00,Fall 2021,Accepted on 20 Dec,Accept, University Of Washington
"Chemistry, University Of California, Irvine",3.97,GRE 168; GRE V 161; GRE AW 6.00,Fall 2021,Accepted on 19 Dec,Accept, University Of California
"Chemistry, University Of California, Los Angeles (UCLA)",3.73,GRE 156; GRE V 164; GRE AW 5.50,Fall 2021,Accepted on 18 Dec,Accept, University Of California
"Chemistry, University Of California, Los Angeles (UCLA)",4.0,GRE 160; GRE V 160; GRE AW 5.00,Fall 2021,Accepted on 17 Dec,Accept, University Of California
"Chemistry, Yale University",3.87,GRE 169; GRE V 169; GRE AW 4.00,Fall 2021,Accepted on 17 Dec,Accept, Yale University
"Chemistry, University Of Illinois",3.97,GRE 161; GRE V 168; GRE AW 6.00,Fall 2021,Accepted on 17 Dec,Accept, University Of Illinois
"Chemistry, Indiana University Bloomington",3.91,GRE 163; GRE V 156; GRE AW 5.00,Fall 2021,Accepted on 15 Dec,Accept, Indiana University Bloomington
"Chemistry, University Of California, Los Angeles",3.98,GRE 163; GRE V 168; GRE AW 5.50,Fall 2021,Accepted on 15 Dec,Accept, University Of California
"Chemistry, Indiana University Bloomington",3.71,GRE 160; GRE V 167; GRE AW 4.00,Fall 2021,Accepted on 15 Dec,Accept, Indiana University Bloomington
"Chemistry, University Of Illinois",3.98,GRE 163; GRE V 168; GRE AW 5.50,Fall 2021,Accepted on 15 Dec,Accept, University Of Illinois
"Chemistry, Texas A",3.93,GRE 162; GRE V 157; GRE AW 4.00,Fall 2021,Accepted on 11 Dec,Accept, Texas A
"Chemistry And Biochemistry, George Mason University",3.9,GRE AW 5.50,Fall 2021,Accepted on 6 Dec,Accept, George Mason University
"Chemistry, University Of Notre Dame",3.16,GRE 160; GRE V 165; GRE AW 4.50,Fall 2021,Accepted on 24 Nov,Accept, University Of Notre Dame
"Chemistry, University Of Wisconsin-Madison",3.87,GRE 169; GRE V 169,Fall 2021,Accepted on 22 Nov,Accept, University Of Wisconsin-Madison
"Chemistry, University Of Wisconsin-Madison",3.64,GRE 155; GRE V 167; GRE AW 4.00,Spring 2019,Rejected on 30 Dec,Reject, University Of Wisconsin-Madison
"Chemistry, Harvard University",4.0,GRE 162; GRE V 161; GRE AW 4.50,Fall 2024,Accepted on 23 Jan,Accept, Harvard University
"Chemistry, University Of California, Berkeley",4.0,GRE 162; GRE V 161; GRE AW 4.50,Fall 2024,Accepted on 16 Jan,Accept, University Of California
"Chemistry, University Of Chicago",4.0,GRE 161; GRE V 162; GRE AW 4.50,Fall 2024,Accepted on 5 Jan,Accept, University Of Chicago
"Chemistry, Brown University",3.92,GRE 164; GRE V 165; GRE AW 4.50,Fall 2023,Rejected on 3 Feb,Reject, Brown University
"Chemistry, Northwestern University",3.92,GRE 164; GRE V 165; GRE AW 4.50,Fall 2023,Rejected on 2 Feb,Reject, Northwestern University
"Chemistry, Boston College",3.92,GRE 164; GRE V 165,Fall 2023,Accepted on 13 Jan,Accept, Boston College
"Chemistry, University Of Chicago",3.92,GRE 164; GRE V 165,Spring 2023,Rejected on 5 Jan,Reject, University Of Chicago
"Chemistry, Duke University",3.8,GRE 167; GRE V 162; GRE AW 5.00,Fall 2023,Accepted on 10 Jan,Accept, Duke University
"Chemistry, Yale University",3.5,GRE 170; GRE V 170; GRE AW 3.50,Fall 2023,Accepted on 9 Jan,Accept, Yale University
"Chemistry, Yale University",3.88,GRE 163; GRE V 159; GRE AW 5.50,Fall 2023,Accepted on 23 Dec,Accept, Yale University
"Chemistry, SUNY Stony Brook",3.8,GRE 167; GRE V 162; GRE AW 5.00,Fall 2022,Accepted on 27 Dec,Accept, SUNY Stony Brook
"Chemistry, Yale University",4.0,GRE 166; GRE V 162; GRE AW 5.00,Fall 2022,Accepted on 21 Dec,Accept, Yale University
"Chemistry, Emory University",3.8,GRE 167; GRE V 163; GRE AW 5.00,Fall 2022,Accepted on 20 Dec,Accept, Emory University
"Chemistry, Yale University",3.8,GRE 167; GRE V 163; GRE AW 5.00,Fall 2022,Accepted on 21 Dec,Accept, Yale University
"Chemistry, UNC Chapel Hill",3.8,GRE 167; GRE V 162; GRE AW 5.00,Fall 2022,Accepted on 12 Dec,Accept, UNC Chapel Hill
"Chemistry, Rice University",3.1,GRE 161; GRE V 164; GRE AW 5.00,Fall 2022,Rejected on 3 Mar,Reject, Rice University
"Chemistry, University Of Chicago",3.83,GRE 159; GRE V 160; GRE AW 4.50,Fall 2022,Accepted on 10 Jan,Accept, University Of Chicago
"Chemistry, Northwestern University",3.6,GRE 162; GRE V 156; GRE AW 4.50,Fall 2022,Rejected on 13 Feb,Reject, Northwestern University
"Chemistry And Biochemistry, University Of Maryland",3.6,GRE 151; GRE V 154; GRE AW 4.00,Fall 2022,Accepted on 4 Feb,Accept, University Of Maryland
"Chemistry, Arizona State University",2.99,GRE 160; GRE V 162; GRE AW 4.00,Fall 2022,Accepted on 19 Jan,Accept, Arizona State University
"Chemistry, University Of California, Riverside",2.99,GRE 160; GRE V 162; GRE AW 4.00,Fall 2022,Accepted on 18 Jan,Accept, University Of California
"Chemistry, University Of California, Irvine",2.99,GRE 160; GRE V 162; GRE AW 4.00,Fall 2022,Accepted on 12 Jan,Accept, University Of California
"Biochemistry, University Of Notre Dame",3.8,GRE AW 5.50,Fall 2022,Rejected on 29 Jan,Reject, University Of Notre Dame
"Chemistry, Massachusetts Institute Of Technology (MIT)",3.92,GRE 162; GRE V 161; GRE AW 4.50,Fall 2022,Rejected on 28 Jan,Reject, Massachusetts Institute Of Technology (MIT)
"Chemistry, University Of Pennsylvania",4.0,GRE 164; GRE V 161; GRE AW 5.50,Fall 2022,Accepted on 23 Jan,Accept, University Of Pennsylvania
"Chemistry, Stanford University",3.15,GRE 169; GRE V 163; GRE AW 3.00,Fall 2022,Rejected on 14 Jan,Reject, Stanford University
"Chemistry, Montana State University",3.92,GRE 162; GRE V 161; GRE AW 4.50,Fall 2022,Accepted on 21 Jan,Accept, Montana State University
"Chemistry, Penn State University",3.58,GRE 162; GRE V 156; GRE AW 4.50,Fall 2022,Accepted on 10 Jan,Accept, Penn State University
"Chemistry, University Of Washington",3.92,GRE 162; GRE V 161; GRE AW 4.50,Fall 2022,Accepted on 19 Jan,Accept, University Of Washington
"Chemistry, Duke University",3.94,GRE 161; GRE V 164; GRE AW 5.00,Fall 2022,Rejected on 18 Jan,Reject, Duke University
"Chemistry, Stanford University",3.99,GRE 167; GRE V 163,Fall 2022,Rejected on 14 Jan,Reject, Stanford University
"Chemistry, Yale University",4.0,GRE 161; GRE V 159,Fall 2022,Accepted on 21 Dec,Accept, Yale University
"Chemistry, University Of North Carolina, Chapel Hill",3.57,GRE 158; GRE V 152; GRE AW 5.00,Fall 2022,Accepted on 6 Jan,Accept, University Of North Carolina
"Chemistry, University Of South Carolina",3.6,GRE 153; GRE V 152; GRE AW 4.50,Fall 2022,Accepted on 12 Jan,Accept, University Of South Carolina
"Environmental Chemistry/Oceanography, ESF",3.42,GRE 139; GRE V 154; GRE AW 3.50,Fall 2022,Accepted on 6 Jan,Accept, ESF
"Chemistry, Johns Hopkins University",3.4,GRE 162; GRE V 164; GRE AW 5.50,Fall 2022,Accepted on 10 Jan,Accept, Johns Hopkins University
"Chemistry, Yale University",3.96,GRE 162,Fall 2022,Accepted on 7 Jan,Accept, Yale University
"Chemistry, University Of California, Irvine",3.15,GRE 169; GRE V 163; GRE AW 3.00,Fall 2022,Accepted on 4 Jan,Accept, University Of California
"Chemistry, Texas A&M University - College Station (TAMU)",3.96,GRE 162,Fall 2022,Accepted on 6 Jan,Accept, Texas A&M University - College Station (TAMU)
"Chemistry, Colorado School Of Mines",3.92,GRE 162; GRE V 161; GRE AW 4.50,Fall 2022,Accepted on 5 Jan,Accept, Colorado School Of Mines
"Chemistry, University Of Illinois Urbana-Champaign",3.96,GRE 162,Fall 2022,Accepted on 23 Dec,Accept, University Of Illinois Urbana-Champaign
"Chemistry, Colorado State University - Fort Collins",3.92,GRE 162; GRE V 161; GRE AW 4.50,Fall 2022,Accepted on 23 Dec,Accept, Colorado State University - Fort Collins
"Chemistry, Yale University",4.0,GRE 164; GRE V 161; GRE AW 5.50,Fall 2022,Accepted on 21 Dec,Accept, Yale University
"Chemistry, Yale University",3.9,GRE 159; GRE V 158; GRE AW 5.00,Fall 2022,Accepted on 21 Dec,Accept, Yale University
"Chemistry, Cornell University",3.4,GRE 164; GRE V 162; GRE AW 5.50,Fall 2022,Accepted on 20 Dec,Accept, Cornell University
"Chemistry, University Of Colorado, Boulder",3.89,GRE 159; GRE V 163; GRE AW 6.00,Fall 2022,Accepted on 20 Dec,Accept, University Of Colorado
"Chemistry, University Of Illinois Urbana Champaign",3.92,GRE 162; GRE V 161; GRE AW 4.50,Fall 2022,Accepted on 17 Dec,Accept, University Of Illinois Urbana Champaign
"Chemistry, University Of California, Los Angeles (UCLA)",3.9,GRE 160; GRE V 166; GRE AW 4.00,Fall 2022,Accepted on 17 Dec,Accept, University Of California
"Chemistry, University Of Georgia",3.62,GRE 153; GRE V 152; GRE AW 4.50,Fall 2022,Accepted on 13 Dec,Accept, University Of Georgia
"Chemistry, University Of South Carolina",3.62,GRE 155; GRE V 149; GRE AW 3.50,Fall 2022,Accepted on 7 Dec,Accept, University Of South Carolina
"Chemistry, Washington State University",3.26,GRE 159; GRE V 151; GRE AW 5.00,Fall 2021,Accepted on 3 May,Accept, Washington State University
"Biosciences - Biochemistry, Stanford University",4.0,GRE 165; GRE V 168; GRE AW 5.00,Fall 2021,Accepted on 8 Mar,Accept, Stanford University
"Chemistry, University Of California, Irvine",3.82,GRE 162; GRE V 157; GRE AW 4.00,Fall 2021,Rejected on 5 Mar,Reject, University Of California
"Chemistry, Duke University",3.82,GRE 162; GRE V 157; GRE AW 4.00,Fall 2021,Rejected on 3 Mar,Reject, Duke University
"Chemistry, Duke",3.71,GRE 160; GRE V 167; GRE AW 4.00,Fall 2021,Rejected on 3 Mar,Reject, Duke
"Chemistry, Cornell University",3.82,GRE 162; GRE V 157; GRE AW 4.00,Fall 2021,Rejected on 27 Feb,Reject, Cornell University
"Chemistry, Vanderbilt University",4.0,GRE 160; GRE V 161; GRE AW 5.00,Fall 2021,Accepted on 23 Feb,Accept, Vanderbilt University
"BGS (Biochemistry And Molecular Biophysics), University Of Pennsylvania",3.8,GRE 165; GRE V 161; GRE AW 5.00,Fall 2021,Accepted on 17 Feb,Accept, University Of Pennsylvania
"Chemistry And Chemical Biology, UC San Francisco (UCSF)",4.0,GRE 165; GRE V 168; GRE AW 5.00,Fall 2021,Accepted on 18 Feb,Accept, UC San Francisco (UCSF)
"Chemistryry, University Of Connecticut",3.79,GRE 157; GRE V 157; GRE AW 4.00,Fall 2021,Accepted on 17 Feb,Accept, University Of Connecticut
"Biochemistry And Molecular Biophysics, California Institute Of Technology",4.0,GRE 165; GRE V 168; GRE AW 5.00,Fall 2021,Accepted on 16 Feb,Accept, California Institute Of Technology
"Chemistry And Biochemistry, University Of New Mexico",3.6,GRE 155; GRE V 163; GRE AW 4.50,Fall 2021,Accepted on 12 Feb,Accept, University Of New Mexico
"Chemistry, Ã‰cole Polytechnique FÃ©dÃ©rale De Lausanne (EPFL)",3.97,GRE 168; GRE V 161; GRE AW 6.00,Fall 2021,Accepted on 10 Feb,Accept, Ã‰cole Polytechnique FÃ©dÃ©rale De Lausanne (EPFL)
